,costToReach,items
The Inner Wolf Gym,1000,"['pint of sweat (0)', ""Jerks' Health&trade; Magazine (0)"", 'sweatband (0)', 'gym shorts (0)', 'ankleweights (0)', 'sweat socks (0)', 'Five Second Energy&trade; (0)', 'pint of sweat (0)', ""Jerks' Health&trade; Magazine (0)"", 'sweatband (0)', 'gym shorts (0)', 'ankleweights (0)', 'sweat socks (0)', 'Five Second Energy&trade; (0)', 'pint of sweat (0)', ""Jerks' Health&trade; Magazine (0)"", 'sweatband (0)', 'gym shorts (0)', 'ankleweights (0)', 'sweat socks (0)', 'Five Second Energy&trade; (0)', 'pint of sweat (0)', ""Jerks' Health&trade; Magazine (0)"", 'sweatband (0)', 'gym shorts (0)', 'ankleweights (0)', 'sweat socks (0)', 'Five Second Energy&trade; (0)', 'pint of sweat (0)', ""Jerks' Health&trade; Magazine (0)"", 'sweatband (0)', 'gym shorts (0)', 'ankleweights (0)', 'sweat socks (0)', 'Five Second Energy&trade; (0)']"
Triad Factory,1000,"['rubber gloves (0)', 'demonic surgical gloves (c0)', 'Chinese curse words (0)', 'triad summoning scroll (0)', 'ASCII fu manchu (c0)', 'triad summoning scroll (0)', 'triad summoning scroll (0)', 'triad summoning scroll (0)', 'cheap Chinese beer (0)', 'cheap Chinese beer (0)', 'dead meat bun (0)', 'magical battery (c1)']"
The Stately Pleasure Dome,1000,"[""Mariner's Friend cough drops (20)"", 'honey-dew (10)', 'white Xanadian (0)', 'bottled inspiration (20)', 'disintegrating spiky collar (20)']"
The Sunken Party Yacht,1000,"['BROS Energy Drink (25)', '8-billed baseball cap (5)', 'giant shrimp fork (5)', 'shrimp cocktail (25)', 'extremely wet T-shirt (5)', 'go-go potion (25)', 'string of moist beads (30)', 'bike rental broupon (c100)']"
The Temple Portico,1000,"['spaghetti cult mask (0)', 'spaghetti cult rosary (0)', 'crystal orb of spirit wrangling (100)', 'cult memo (100)', 'spaghetti cult mask (0)', 'spaghetti cult rosary (0)', 'spaghetti cult mask (0)', 'spaghetti cult rosary (0)']"
The Temple Ruins,1000,"['fire of unknown origin (15)', 'black blade (5)', 'cigarette lighter (15)', 'blue oyster badge (c0)', ""memory of a cultist's robe (0)"", 'a creased paper strip (30)', 'a crinkled paper strip (30)', 'a crumpled paper strip (30)', 'a folded paper strip (30)', 'a ragged paper strip (30)', 'a ripped paper strip (30)', 'a rumpled paper strip (30)', 'a torn paper strip (30)', ""memory of a cultist's robe (0)"", 'hawkface potion (c0)', 'tainted milk (0)', 'Rubee&trade; (n100)', 'Rubee&trade; (n100)', 'blue grass (20)', 'banjo kazoo mount (2)', 'dried face (10)', 'spooky shrunken head (20)', 'ancient pills (0)', 'evil googly eye (10)', 'spooky felt (10)', 'spooky length of string (10)', 'spooky stuffing (10)', 'spooky toy wheel (10)', 'spooky wooden block (10)']"
Thugnderdome,1000,"['clockwork key (n5)', 'clockwork key (n5)', 'flange (5)', 'clockwork key (n5)', 'clockwork key (n5)', 'flange (5)', 'sprocket (15)', 'cog (15)', 'flange (5)', 'cog (15)', 'spring (15)', 'flange (5)', 'sprocket (15)', 'spring (15)', 'flange (5)', 'gnauga hide (10)']"
The Tower of Procedurally-Generated Skeletons,1000,[]
The X-32-F Combat Training Snowman,1000,[]
The Toxic Teacups,1000,"['toxic globule (0)', 'toxic globule (0)', 'toxic globule (0)']"
The Wreck of the Edgar Fitzsimmons,1000,"['imitation crab crate (n30)', ""moist sailor's cap (n2)"", 'rusty compass (n2)', 'rusty speargun (n2)', 'salt water taffy (c0)', 'Mer-kin hookspear (n2)', 'Mer-kin takebag (n4)', 'Mer-kin thingpouch (n25)', 'live nautical mine (n20)', 'glowing syringe (c4)', 'rusty broken diving helmet (n3)', 'rusty porthole (n2)', 'rusty rivet (n10)', 'rusty rivet (n10)', 'rusty rivet (n2)', 'rusty rivet (n1)', 'unholy water (c0)']"
The Velvet / Gold Mine,1000,"['glowing New Age crystal (0)', 'New Age healing crystal (0)', 'New Age healing crystal (0)', 'broken high-temperature mining drill (0)', 'high-temperature mining mask (0)', 'mineapple (0)', 'fireproof megaphone (0)', 'Gold Velvet&trade; whiskey (0)', 'broken high-temperature mining drill (0)', 'high-temperature mining mask (0)', 'mineapple (0)', 'fireproof megaphone (0)', 'Gold Velvet&trade; whiskey (0)', ""Mr. Choch's bone (n100)"", 'labrador cookie (n100)']"
"Trivial Pursuits, LLC",1000,['question juice (c100)']
The Mer-Kin Outpost,1000,"['Mer-kin foodbucket (n6)', 'Mer-kin hidepaint (n10)', 'Mer-kin sneakmask (n2)', 'Mer-kin takebag (n2)', 'Mer-kin foodbucket (n5)', 'Mer-kin healscroll (n25)', 'Mer-kin prayerbeads (n5)', 'Mer-kin thingpouch (n15)', 'Mer-kin breastplate (c2)', 'Mer-kin foodbucket (n10)', 'Mer-kin hookspear (n2)', 'Mer-kin roundshield (n2)']"
WarBear Fortress (First Level),1000,['warbear whosit (n100)']
WarBear Fortress (Third Level),1000,"['warbear whosit (n100)', 'warbear whosit (n100)', 'warbear whosit (n100)', 'warbear officer requisition box (f0)']"
The Mouldering Mansion,1000,"['bellhop bell (20)', 'bottle of black cat tonic (20)', 'library card (20)', 'painting of a glass of wine (15)', 'ornate picture frame (15)', 'ancient oil painting of yourself (5)', 'shiny stones (100)', ""Elizabeth's Dollie (100)"", ""Elizabeth's paintbrush (100)"", 'Eye of Ed (100)', ""Lord Spookyraven's ear trumpet (100)"", ""Stephen's secret formula (100)"", ""Stephen's lab coat (100)"", ""Lord Soggyraven's Slippers (n100)"", 'shot of nepenthe schnapps (20)', 'ravenous eye (c0)', 'Spookyraven signet (c100)', 'collection of tiny spooky objects (0)', 'patent antipsychotics (20)', 'pint of sweat (0)', ""Jerks' Health&trade; Magazine (0)"", 'sweatband (0)', 'gym shorts (0)', 'ankleweights (0)', 'sweat socks (0)', 'Five Second Energy&trade; (0)', 'felt (10)', 'wooden block (10)', 'googly eye (10)', 'length of string (10)', 'stuffing (10)', 'toy wheel (10)']"
The Nemesis' Lair,1000,"['hellseal whisker (0)', 'hellseal whisker (0)', 'hellseal claw (0)', 'hellseal claw (0)', 'Scalp of Gorgolok (100)', 'crowbar (0)', 'Elder Turtle Shell (100)', ""Colander of Em-er'il (100)"", 'Ancient Saucehelm (100)', ""Disco 'Fro Pick (100)"", 'spangly mariachi pants (0)', 'spangly mariachi vest (0)', 'spangly sombrero (0)', 'El Sombrero De Lopez (100)']"
The Nightmare Meatrealm,1000,['ectoplasm <i>au jus</i> (c0)']
The Old Gotpork Library,1000,['bag of random words (c100)']
The Old Man's Bathtime Adventures,1000,"['old chum (0)', 'old chum (0)', 'old chum (0)', 'old chum (0)', 'old chum (0)', 'Hundred Headed IPA (0)']"
The Outer Compound,1000,"['guard turtle shell (0)', 'guard turtle collar (0)', 'guard turtle shell (0)', 'guard turtle collar (0)']"
Your Hat Chakra,1000,"['negative lump (0))', 'negative lump (0)', 'negative lump (0)', 'chakra sludge (0)', 'Third Eye (100)', 'chakra sludge (100)', 'chakra sludge (100)', 'chakra sludge (100)']"
Your Nose Chakra,1000,"['negative lump (0)', 'negative lump (0)', 'chakra sludge (0)', 'negative lump (0)']"
Your Nipple Chakra,1000,"['negative lump (0)', 'negative lump (0))', 'negative lump (0)', 'chakra sludge (0)']"
Your Liver Chakra,1000,"['negative lump (0)', 'negative lump (0)', 'negative lump (0)', 'chakra sludge (0)']"
Your Guts Chakra,1000,"['negative lump (0)', 'chakra sludge (0)', 'negative lump (0)', 'negative lump (0)']"
Your Bung Chakra,1000,"['negative lump (0)', 'chakra sludge (0)', 'negative lump (0)', 'negative lump (0))']"
Yomama's Throne,1000,[]
WarBear Fortress (Second Level),1000,"['warbear whosit (n100)', 'warbear whosit (n100)', 'warbear requisition box (f0)', 'warbear badge (f0)', 'warbear whosit (n100)', 'warbear whosit (n100)', 'warbear whosit (n100)', 'warbear officer requisition box (f0)']"
Ye Olde Medievale Villagee,1000,"['leather (0)', 'leather (0)', 'straw (0)', 'straw (0)', 'leather (0)', 'leather (0)', 'leather (0)', 'leather (0)', 'clay (0)', 'clay (0)', 'leather (0)', 'leather (0)', 'clay (0)', 'clay (0)', 'clay (0)', 'clay (0)', 'straw (0)', 'straw (0)', 'straw (0)', 'straw (0)', 'straw pole (c0)', 'clay (0)', 'clay (0)', 'straw (0)', 'straw (0)']"
The Post-Mall,1000,"['TI-9000 calculator (40)', 'tarnished bottlecap (20)', 'spray chrome (c0)', 'unused soap (40)', 'tarnished bottlecap (20)', 'filthy monkey head (c0)', 'impure gasoline (40)', 'tarnished bottlecap (20)', 'Z-Bone steak (40)', 'tarnished bottlecap (20)', 'viral DNA (40)', 'tarnished bottlecap (20)']"
The Primordial Soup,1000,"['memory of an A (20)', 'memory of a G (20)', 'memory of a C (20)', 'memory of a T (20)', 'memory of an A (20)', 'memory of a C (20)', 'memory of a G (20)', 'memory of a T (20)', 'memory of some delicious amino acids (30)', 'memory of some delicious amino acids (30)']"
The Purple Light District,1000,"['hobo nickel (c15)', 'sleazy bindle (0)', 'Summer Nights (0)', 'Sensual Massage for Creeps (0)', 'stained mattress (0)', 'Chorale of Companionship (0)', 'extra-greasy slider (0)', ""Chester's bag of candy (0)"", ""Chester's cutoffs (0)"", ""Chester's moustache (0)"", ""Chester's Aquarius medallion (f20)"", ""Chester's muscle shirt (f20)"", ""Chester's sunglasses (f20)""]"
The Red Queen's Garden,1000,"['dragon snaps (20)', 'snapdragon pistil (0)', 'reflection of a map (c10)', 'bucket of honey (20)', 'elephant stinger (0)', 'reflection of a map (c10)', 'eye of the Tiger-lily (0)', ""Tiger-lily's milk (20)"", 'reflection of a map (c10)', 'powdered donut (20)', 'powdered wig (0)', 'reflection of a map (c10)']"
The Rogue Windmill,1000,"['can-can-in-a-can (20)', 'bottle of realpagne (20)', 'sensitive poetry journal (20)', 'A muse-bouche (c0)', 'escargotsicle (20)', 'Rogue Windmill Rouge (c0)', 'Bohemian rhapsody (20)']"
The Roman Forum,1000,"['non-aged vinegar (20)', 'unsanitized scalpel (2)', 'Strix stix (20)', 'vampire pellet (2)', 'salt wages (10)', 'gladiator tunica (2)', 'bronze polish (c0)', 'salt wages (10)', 'Roman sadnals (2)', 'crident (c0)', 'salt wages (10)', 'madius (2)', 'salt wages (10)', 'radiator heater shield (2)', 'totally sweet mohawk helmet (c0)']"
The Ruins of the Fully Automated Crimbo Factory,1000,"['pitted sheet metal (0)', 'sparking robo-battery (0)', 'overloaded micro-reactor (0)']"
Warehouse Row,1000,[]
The Rowdy Saloon,1000,"['nastygeist (20)', 'gold tooth (3)', 'glass of herbal tequila (15)', 'shot of mescal (15)', 'whiskey in a broken glass (15)', 'damp bar rag (c0)', 'sleeve deuce (20)', 'pocket ace (5)', 'hand of cards (c0)', 'portable table (10)', 'outlaw bandana (5)']"
The Royal Guard Chamber,1000,['filthworm royal guard scent gland (10)']
The Secret Council Warehouse,1000,"['warehouse inventory page (0)', ""warehouse clerk's glasses (c0)"", 'warehouse map page (0)', 'warehouse walkie-talkie (c0)', 'janitor sponge (0)', ""janitor's mop (c0)""]"
The Secret Government Laboratory,1000,"['limp broccoli (c0)', 'monkey barf (c0)', 'giant yellow hat (c0)', 'airborne mutagen (c0)', 'heavy-duty clipboard (c0)', 'experimental serum G-9 (c0)', 'battery-powered drill (c0)', 'airborne mutagen (c0)', 'grimy lab coat (c0)', 'jangly bracelet (c0)', 'delicious candy (c0)', 'cuddly teddy bear (c0)', 'airborne mutagen (c0)', 'creepy nursery rhyme (c0)', 'ice-cold Cloaca Zero (c0)', 'first-aid pouch (c0)', 'khaki duffel bag (c0)', 'airborne mutagen (c0)', 'iron torso box (c0)']"
The Skate Park,1000,"['groupie bra (0)', 'groupie lipstick (0)', 'groupie spangles (c0)', 'collapsible baton (0)', 'skate blade (0)', 'skate skin (0)', 'spangly unitard (0)', 'brand new key (0)', 'brass dorsal fin (0)', 'skate skin (0)', 'skate skates (0)', 'S.A.V.E. flyer (0)', 'skate board (0)', 'skate skin (0)', ""mermaid's purse (0)"", 'bazookafish bubble gum (0)', 'underwater slingshot (0)']"
Waste Processing,1000,"['handful of juicy garbage (0)', 'handful of juicy garbage (0)', ""Osk'r Chow (c0)"", 'BURT (100)']"
12 West Main,1000,[]
The Deep Dark Jungle,1000,"['&quot;meat&quot; stick (15)', 'Sasq&trade; watch (c0)', 'specialty ammo bandolier (15)', 'camouflage T-shirt (c0)', 'Coinspiracy (c0)', 'mercenary headband (c0)', 'transdermal smoke patch (15)', ""smoker's cloak (c0)"", 'the most dangerous bait (15)', 'pair of plants (c0)']"
The Ice Hole,1000,"['bottle of norwhiskey (0)', 'norwhal helmet (c0)', 'tin of submardines (0)', 'sardine can key (c0)', 'octolus oculus (0)', 'octolus-skin cloak (c0)']"
Elf Alley,1000,"['bindlestocking (0)', 'hobo nickel (c15)', 'sleeping stocking (0)', 'Tales of a Kansas Toymaker (0)', 'The Joy of Wassailing (0)', ""Uncle Crimbo's Rations (100)"", 'chocolate cigar (0)', ""Uncle Hobo's gift baggy pants (0)"", ""Uncle Hobo's epic beard (0)"", ""Uncle Hobo's stocking cap (0)"", ""Uncle Hobo's fingerless tinsel gloves (f30)"", ""Uncle Hobo's highest bough (f30)"", ""Uncle Hobo's belt (f30)""]"
El Vibrato Island,1000,"['El Vibrato punchcard (97 holes) (1)', 'El Vibrato punchcard (216 holes) (1)', 'El Vibrato punchcard (97 holes) (1)', 'El Vibrato punchcard (216 holes) (1)', 'El Vibrato punchcard (104 holes) (1)', 'El Vibrato punchcard (104 holes) (1)', 'El Vibrato punchcard (129 holes) (1)', 'El Vibrato punchcard (88 holes) (1)', 'El Vibrato punchcard (129 holes) (1)', 'El Vibrato punchcard (88 holes) (1)', 'El Vibrato punchcard (213 holes) (1)', 'El Vibrato punchcard (182 holes) (1)', 'El Vibrato punchcard (213 holes) (1)', 'El Vibrato punchcard (182 holes) (1)', 'El Vibrato punchcard (115 holes) (1)', 'El Vibrato punchcard (142 holes) (1)', 'El Vibrato punchcard (115 holes) (1)', 'El Vibrato punchcard (142 holes) (1)', 'El Vibrato punchcard (165 holes) (1)', 'El Vibrato punchcard (176 holes) (1)', 'El Vibrato punchcard (165 holes) (1)', 'El Vibrato punchcard (176 holes) (1)']"
Eager Rice Burrows,1000,"[""chocolate rabbit's foot (0)"", 'candy carrot (0)', 'candy mountain oyster (0)', 'chocolate-stained collar (0)', 'mulberry (0)', 'weasel stomping pants (0)']"
Dreadsylvanian Woods,1000,"['Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'snowstick (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'drafty drawers (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'warm fur (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'accidental mutton (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'dubious loincloth (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'groping claw (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'eerie fetish (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'wolfskull mask (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'stinkwater (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'guts necklace (c0)', ""Great Wolf's headband (c0)"", ""Great Wolf's left paw (c0)"", ""Great Wolf's right paw (c0)"", 'Hunger&trade; Sauce (c0)', ""Great Wolf's headband (c0)"", ""Great Wolf's left paw (c0)"", ""Great Wolf's right paw (c0)"", ""Great Wolf's rocket launcher (c0)"", ""Great Wolf's beastly trousers (c0)"", ""Great Wolf's lice (c0)"", 'Hunger&trade; Sauce (c0)', 'Covers-Your-Head (c0)', 'Drapes-You-Regally (c0)', 'Warms-Your-Tush (c0)', 'Gets-You-Drunk (c0)', 'Covers-Your-Head (c0)', 'Drapes-You-Regally (c0)', 'Warms-Your-Tush (c0)', 'Helps-You-Sleep (c0)', 'Quiets-Your-Steps (c0)', 'Protects-Your-Junk (c0)', 'Gets-You-Drunk (c0)']"
Dreadsylvanian Village,1000,"['Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'BOOtonniere (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'Thriller Ice (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'vengeful spirit (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'hothammer (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'transparent pants (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'antique spyglass (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'ghost thread (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'grandfather watch (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'bag of unfinished business (c0)', 'folder (Stinky Trash Kid) (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'muddy skirt (c0)', ""Mayor Ghost's cloak (c0)"", ""Mayor Ghost's khakis (c0)"", ""Mayor Ghost's toupee (c0)"", 'ghost pepper (c0)', ""Mayor Ghost's cloak (c0)"", ""Mayor Ghost's khakis (c0)"", ""Mayor Ghost's toupee (c0)"", ""Mayor Ghost's gavel (c0)"", ""Mayor Ghost's sash (c0)"", ""Mayor Ghost's scissors (c0)"", 'ghost pepper (c0)', 'zombie mariachi hat (c0)', 'zombie accordion (c0)', 'zombie mariachi pants (c0)', 'wriggling severed nose (c0)', 'zombie mariachi hat (c0)', 'zombie accordion (c0)', 'zombie mariachi pants (c0)', 'HOA regulation book (c0)', 'HOA zombie eyes (c0)', 'HOA citation pad (c0)', 'wriggling severed nose (c0)']"
Dreadsylvanian Castle,1000,"['Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'old ball and chain (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'remorseless knife (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'frying brainpan (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'vial of hot blood (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'tonguebone (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'blood sausage (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'old dry bone (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'intimidating coiffure (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'tailbone shield (c0)', 'Dreadsylvanian Almanac page (c0)', 'Freddy Kruegerand (c0)', 'cod cape (c0)', ""Unkillable Skeleton's breastplate (c0)"", ""Unkillable Skeleton's shinguards (c0)"", ""Unkillable Skeleton's skullcap (c0)"", 'electric Kool-Aid (c0)', ""Unkillable Skeleton's breastplate (c0)"", ""Unkillable Skeleton's shinguards (c0)"", ""Unkillable Skeleton's skullcap (c0)"", ""Unkillable Skeleton's sawsword (c0)"", ""Unkillable Skeleton's shield (c0)"", ""Unkillable Skeleton's restless leg (c0)"", 'skull capacitor (100)', 'electric Kool-Aid (c0)', ""Thunkula's drinking cap (c0)"", ""Drunkula's cape (c0)"", ""Drunkula's silky pants (c0)"", 'bottle of Bloodweiser (c0)', ""Thunkula's drinking cap (c0)"", ""Drunkula's cape (c0)"", ""Drunkula's silky pants (c0)"", ""Drunkula's ring of haze (c0)"", ""Drunkula's wineglass (c0)"", ""Drunkula's bell (c0)"", 'skull capacitor (100)', 'bottle of Bloodweiser (c0)']"
Doubt Man's Level,1000,"['red pixel (0)', 'black pixel (0)', 'white pixel (0)', 'pixel power cell (0)', 'red pixel (0)', 'red pixel (0)', 'white pixel (0)', 'pixel power cell (0)', 'black pixel (0)', 'black pixel (0)', 'white pixel (0)', 'pixel power cell (0)', 'doubt cannon (100)']"
Domed City of Ronaldus,1000,"['elven magi-pack (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven magi-pack (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'folder (holographic fractal) (c0)', 'elven medi-pack (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven magi-pack (25)', 'elven medi-pack (25)', 'lunar isotope (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven hardtack (25)', 'elven squeeze (25)', 'Map to Safety Shelter Ronald Prime (10)', 'Notes from the Elfpocalypse, Chapter V (15)', 'elven hardtack (25)', 'elven squeeze (25)', 'Map to Safety Shelter Ronald Prime (10)', 'Notes from the Elfpocalypse, Chapter VI (15)', 'elven hardtack (25)', 'elven squeeze (25)', 'Map to Safety Shelter Ronald Prime (10)', 'Notes from the Elfpocalypse, Chapter IV (15)']"
Engineering,1000,"['BURT (100)', 'drone self-destruct chip (0)']"
Domed City of Grimacia,1000,"['elven medi-pack (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven magi-pack (25)', 'elven medi-pack (25)', 'lunar isotope (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven medi-pack (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven magi-pack (0)', 'lunar isotope (0)', 'lunar isotope (0)', 'elven hardtack (25)', 'elven squeeze (25)', 'Map to Safety Shelter Grimace Prime (10)', 'Notes from the Elfpocalypse, Chapter II (15)', 'elven hardtack (25)', 'elven squeeze (25)', 'Map to Safety Shelter Grimace Prime (10)', 'Notes from the Elfpocalypse, Chapter I (15)', 'elven hardtack (25)', 'elven squeeze (25)', 'Map to Safety Shelter Grimace Prime (10)', 'Notes from the Elfpocalypse, Chapter III (15)']"
Crimbo's Sack,1000,"['negative lump (0)', 'chakra sludge (0)', 'negative lump (0)', 'negative lump (0)']"
Crimbo's Reindeer,1000,"['negative lump (0)', 'negative lump (0)', 'chakra sludge (0)', 'negative lump (0)']"
Crimbo's Jelly,1000,"['negative lump (0)', 'negative lump (0)', 'chakra sludge (0)', 'negative lump (0)']"
Crimbo's Hat,1000,"['negative lump (0)', 'negative lump (0)', 'negative lump (0)', 'chakra sludge (0)', 'Krampus Horn (100)', 'chakra sludge (100)', 'chakra sludge (100)', 'chakra sludge (100)', 'chakra sludge (100)', 'chakra sludge (100)', 'chakra sludge (100)', 'chakra sludge (100)', 'chakra sludge (100)']"
Crimbo's Boots,1000,"['negative lump (0)', 'chakra sludge (0)', 'negative lump (0)', 'negative lump (0)']"
Crimbo's Beard,1000,"['negative lump (0)', 'negative lump (0)', 'negative lump (0)', 'chakra sludge (0)']"
Crimbo Town Toy Factory (2012),1000,"['electrical thingamabob (50)', 'electrical thingamabob (10)', 'plastic ingot (50)', 'plastic ingot (10)', 'electrical thingamabob (50)', 'plastic ingot (10)', 'electrical thingamabob (50)', 'plastic ingot (10)', 'plastic ingot (50)', 'electrical thingamabob (10)']"
Crimbo Town Toy Factory (2009),1000,"['elf resistance button (100)', 'elven cellocello (0)', 'elven suicide capsule (0)', 'elf resistance button (100)', 'elven cellocello (0)', 'elven suicide capsule (0)', 'elf resistance button (100)', 'handful of headless bolts (c100)', 'pair of bolt cutters (0)', 'elf resistance button (100)', 'throwing wrench (0)', 'wrench handle (c100)', 'bottle of agitprop ink (c100)', 'elf resistance button (100)', 'poison pen (0)', 'elf resistance button (100)', 'elven cellocello (0)', 'elven suicide capsule (0)', 'elf resistance button (100)', 'elven cellocello (0)', 'elven suicide capsule (0)', 'elf resistance button (100)', 'elven cellocello (0)', 'elven suicide capsule (0)', 'elf resistance button (100)', 'handful of wires (c100)', 'live wire (0)']"
Crimborg Collective Factory,1000,"['capacitor relay (8)', 'carbon nanotube frame (8)', 'ion grid (8)', 'Feynman gate (8)', 'logic synthesizer (8)', 'high-resistance ultrapolymer plating (4)', 'capacitor relay (8)', 'carbon nanotube frame (8)', 'ion grid (8)', 'Feynman gate (8)', 'logic synthesizer (8)', 'high-resistance ultrapolymer plating (4)', 'capacitor relay (8)', 'carbon nanotube frame (8)', 'ion grid (8)', 'Feynman gate (8)', 'logic synthesizer (8)', 'high-resistance ultrapolymer plating (4)', 'capacitor relay (8)', 'carbon nanotube frame (8)', 'ion grid (8)', 'Feynman gate (8)', 'logic synthesizer (8)', 'high-resistance ultrapolymer plating (4)', 'capacitor relay (8)', 'carbon nanotube frame (8)', 'ion grid (8)', 'Feynman gate (8)', 'logic synthesizer (8)', 'high-resistance ultrapolymer plating (4)']"
Crimbo Town Toy Factory (2007),1000,"['iGoogly (10)', 'LED block (10)', 'nanofiber cloth (10)', 'synthetic stuffing (10)', 'theoretical string (10)', 'toy hoverpad (10)', 'iGoogly (10)', 'LED block (10)', 'nanofiber cloth (10)', 'synthetic stuffing (10)', 'theoretical string (10)', 'toy hoverpad (10)', 'iGoogly (10)', 'LED block (10)', 'nanofiber cloth (10)', 'synthetic stuffing (10)', 'theoretical string (10)', 'toy hoverpad (10)', 'iGoogly (10)', 'LED block (10)', 'nanofiber cloth (10)', 'synthetic stuffing (10)', 'theoretical string (10)', 'toy hoverpad (10)']"
Exposure Esplanade,1000,"['hobo nickel (c15)', ""freezin' bindle (0)"", 'Maxing, Relaxing (0)', 'Blizzards I Have Died In (0)', 'frigid air mattress (0)', ""Benetton's Medley of Diversity (0)"", ""Frosty's frosty mug (0)"", ""Frosty's carrot (0)"", ""Frosty's nailbat (0)"", ""Frosty's old silk hat (0)"", ""Frosty's arm (f20)"", ""Frosty's iceball (f20)"", ""Frosty's snowball sack (f20)""]"
Fernswarthy's Basement,1000,['Stone Golem pebbles (c0)']
Gumdrop Forest,1000,"['candied pecan (0)', 'candy stick (0)', 'anise-flavored venom (0)', 'licorice whip (0)', 'sour powder (0)', 'pixie axie (0)']"
Grim Grimacite Site,1000,"['chunk of depleted Grimacite (0)', 'kneecapping stick (0)', 'penguin skin (0)', 'chunk of depleted Grimacite (0)', 'iron pasta spoon (0)', 'scroll of pasta summoning (0)', 'chunk of depleted Grimacite (0)', 'mafia aria (0)', 'Mob Penguin cellular phone (0)', 'support cummerbund (0)']"
Gotpork Municipal Reservoir,1000,"[""Mansquito's blood (c100)""]"
Gotpork Gardens Cemetery,1000,['infrablack lipstick (c100)']
Gotpork Foundry,1000,"['mysterious chemical residue (25)', 'mysterious chemical residue (10)', 'red-hot jawbreaker (c100)']"
Gotpork Conservatory of Flowers,1000,['Kudzu slaw (c100)']
"Gotpork Clock, Inc.",1000,['tube of pendulum lube (c100)']
Gotpork City Sewers,1000,['can of drain cleaner (c100)']
Fear Man's Level,1000,"['white pixel (0)', 'black pixel (0)', 'black pixel (0)', 'pixel power cell (0)', 'white pixel (80)', 'white pixel (70)', 'white pixel (60)', 'white pixel (50)', 'white pixel (40)', 'pixel power cell (0)', 'white pixel (0)', 'red pixel (0)', 'black pixel (0)', 'pixel power cell (0)', 'fear condenser (100)']"
Globe Theatre Backstage,1000,"['grip key (0)', 'How to Play Othello (0)', 'ghost beer (0)', 'ghostly dagger (0)']"
Gingerbread Upscale Retail District,1000,"['gingerbread smartphone (0)', 'gingerbeard (0)', 'gingerbread smartphone (0)', 'candy necktie (0)', 'gingerbread smartphone (0)', 'gingerbread hoodie (0)']"
Gingerbread Train Station,1000,"['sprinkle-begging cup (0)', 'animal part cracker (0)', 'gingerbread wine (0)']"
